date,open,high,low,close,volume
2022-07-27,263.809736,275.925324,261.789772,274.819725,88110076
2022-07-28,280.066387,283.299717,272.799727,280.899719,84723075
2022-07-29,280.699719,298.319702,279.099721,297.149703,95312978
2022-08-01,301.274699,311.877921,294.999705,297.276369,117043004.99999999
2022-08-02,294.003039,307.833025,292.666374,300.586366,95577563
2022-08-03,304.999695,309.54969,301.149699,307.396359,80091185
2022-08-04,310.999689,313.606353,304.999695,308.633025,72256389
2022-08-05,302.669697,304.606329,285.544381,288.169712,113173010.00000001
2022-08-08,294.999705,305.199695,289.085111,290.423043,99365373
2022-08-09,290.293043,292.396374,279.353054,283.33305,86244767
2022-08-10,297.06637,297.509702,283.369717,294.356372,94918966
2022-08-11,296.513037,298.236368,285.833047,286.629713,70155115
2022-08-12,289.414711,300.1597,285.033048,300.0297,79657366
2022-08-15,301.786365,313.13302,301.229699,309.319691,89359256
2022-08-16,311.666355,314.666352,302.88303,306.563027,88136410
2022-08-17,303.396363,309.656357,300.033033,303.996363,68766038
2022-08-18,305.999694,306.499694,301.853031,302.869697,47500583
2022-08-19,298.999701,300.3597,292.499708,296.66637,61395448
2022-08-22,291.913041,292.399708,286.29638,289.913043,55843401.99999999
2022-08-23,291.453042,298.826335,287.923045,296.453037,63985107
2022-08-24,297.563036,303.646363,296.499703,297.09637,57259773.00000001
2022-08-25,302.36,302.96,291.6,296.07,53230013
2022-08-26,297.43,302,287.47,288.09,57163947
2022-08-29,282.83,287.74,280.7,284.82,41864742
2022-08-30,287.865,288.48,272.65,277.7,50541759
2022-08-31,280.62,281.25,271.81,275.61,52107337
2022-09-01,272.575,277.58,266.15,277.16,54287024
2022-09-02,281.065,282.35,269.08,270.21,50890090
2022-09-06,272.675,275.99,265.74,274.42,55859984
2022-09-07,273.1,283.84,272.27,283.7,50028916
2022-09-08,281.3,289.5,279.76,289.26,53713124
2022-09-09,291.67,299.85,291.245,299.68,54470854
2022-09-12,300.72,305.49,300.4,304.42,48674604
2022-09-13,292.9,297.3999,290.4,292.13,68229619
2022-09-14,292.24,306,291.64,302.61,72628653
2022-09-15,301.825,309.12,300.7247,303.75,64795523
2022-09-16,299.605,303.71,295.6005,303.35,87087786
2022-09-19,300.09,309.84,297.8,309.07,60231156
2022-09-20,306.91,313.33,305.58,308.73,61642783
2022-09-21,308.29,313.8,300.63,300.8,62555656
2022-09-22,299.86,301.29,285.82,288.59,70545413
2022-09-23,283.09,284.5,272.82,275.33,63748362
2022-09-26,271.83,284.09,270.31,276.01,58076913
2022-09-27,283.84,288.67,277.51,282.94,61925185
2022-09-28,283.08,289,277.57,287.81,54664809
2022-09-29,282.76,283.65,265.78,268.21,77620642
2022-09-30,266.145,275.57,262.47,265.25,67726598
2022-10-03,254.5,255.16,241.01,242.4,98363541
2022-10-04,250.52,257.5,242.01,249.44,109578535
2022-10-05,245.01,246.6697,233.27,240.81,86982673
2022-10-06,239.44,244.58,235.35,238.13,69298437
2022-10-07,233.935,234.5715,222.02,223.07,83916800
2022-10-10,223.93,226.99,218.3582,222.96,67925018
2022-10-11,220.945,225.75,215,216.5,77013202
2022-10-12,215.33,219.2999,211.51,217.24,66860699
2022-10-13,208.3,222.99,206.22,221.72,91483045
2022-10-14,224.01,226.26,204.16,204.99,94124511
2022-10-17,210.04,221.86,209.45,219.35,79428810
2022-10-18,229.5,229.82,217.25,220.19,75891905
2022-10-19,219.8,222.93,217.78,222.04,66571479
2022-10-20,208.28,215.55,202,207.28,117798062
2022-10-21,206.415,214.66,203.8,214.44,75713754
2022-10-24,205.82,213.5,198.5863,211.25,100446765
2022-10-25,210.1,224.3498,210,222.415,96507870
2022-10-26,219.4,230.6,218.2,224.64,85327078
2022-10-27,229.77,233.81,222.85,225.09,61638824
2022-10-28,225.4,228.86,216.35,228.52,69152386
2022-10-31,226.19,229.85,221.94,227.54,61554341
